            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2460063.500000000, A.D. 2023-Apr-29 00:00:00.0000,  7.470427066829537E+07,  3.818875380388430E+08, -1.442970690500900E+08,
2460064.500000000, A.D. 2023-Apr-30 00:00:00.0000,  7.331129001491922E+07,  3.820266109239082E+08, -1.444299762411323E+08,
2460065.500000000, A.D. 2023-May-01 00:00:00.0000,  7.191727963886343E+07,  3.821603984552678E+08, -1.445608851971755E+08,
2460066.500000000, A.D. 2023-May-02 00:00:00.0000,  7.052225824356970E+07,  3.822888957759865E+08, -1.446897929767833E+08,
2460067.500000000, A.D. 2023-May-03 00:00:00.0000,  6.912624456078890E+07,  3.824120980599843E+08, -1.448166966489398E+08,
2460068.500000000, A.D. 2023-May-04 00:00:00.0000,  6.772925735077335E+07,  3.825300005121185E+08, -1.449415932930709E+08,
2460069.500000000, A.D. 2023-May-05 00:00:00.0000,  6.633131540246967E+07,  3.826425983682692E+08, -1.450644799990667E+08,
2460070.500000000, A.D. 2023-May-06 00:00:00.0000,  6.493243753371222E+07,  3.827498868954257E+08, -1.451853538673037E+08,
2460071.500000000, A.D. 2023-May-07 00:00:00.0000,  6.353264259141687E+07,  3.828518613917757E+08, -1.453042120086692E+08,
2460072.500000000, A.D. 2023-May-08 00:00:00.0000,  6.213194945177536E+07,  3.829485171867960E+08, -1.454210515445852E+08,
2460073.500000000, A.D. 2023-May-09 00:00:00.0000,  6.073037702044994E+07,  3.830398496413462E+08, -1.455358696070340E+08,
2460074.500000000, A.D. 2023-May-10 00:00:00.0000,  5.932794423276879E+07,  3.831258541477634E+08, -1.456486633385842E+08,
2460075.500000000, A.D. 2023-May-11 00:00:00.0000,  5.792467005392154E+07,  3.832065261299602E+08, -1.457594298924175E+08,
2460076.500000000, A.D. 2023-May-12 00:00:00.0000,  5.652057347915549E+07,  3.832818610435240E+08, -1.458681664323563E+08,
2460077.500000000, A.D. 2023-May-13 00:00:00.0000,  5.511567353397215E+07,  3.833518543758183E+08, -1.459748701328924E+08,
