Column1,Column2,Column3,Column4,Column5,Column6
"2452612.500000000, A.D. 2002-Dec-04 00",00,"00.0000, -2.815892675391982E+09,  2.724554503906354E+09, -1.233162806065624E+09,  2.718983571848175E+01, -6.033471335557565E+00, -9.694013441103442E-01,",,,
"2452643.500000000, A.D. 2003-Jan-04 00",00,"00.0000, -2.740091757329714E+09,  2.729946047184274E+09, -1.235748430505527E+09,  2.794102830903676E+01,  1.014052047313548E+01, -9.630781123154395E-01,",,,
"2452674.500000000, A.D. 2003-Feb-04 00",00,"00.0000, -2.674014766543738E+09,  2.777038480434848E+09, -1.238318067909168E+09,  2.011243620370478E+01,  2.430463631168720E+01, -9.562976734829540E-01,",,,
"2452702.500000000, A.D. 2003-Mar-04 00",00,"00.0000, -2.639677917119696E+09,  2.846153852172707E+09, -1.240625366767148E+09,  7.683320137780916E+00,  3.181628852304827E+01, -9.507573684509474E-01,",,,
"2452733.500000000, A.D. 2003-Apr-04 00",00,"00.0000, -2.640286364644895E+09,  2.933838294071502E+09, -1.243164582435907E+09, -8.137310235715459E+00,  3.225052827962313E+01, -9.441699888543020E-01,",,,
"2452763.500000000, A.D. 2003-May-04 00",00,"00.0000, -2.679372471483066E+09,  3.009532129731462E+09, -1.245606650298097E+09, -2.138674668360102E+01,  2.505108238795991E+01, -9.382907839786672E-01,",,,
"2452794.500000000, A.D. 2003-Jun-04 00",00,"00.0000, -2.749037982761395E+09,  3.060078648782585E+09, -1.248114297412407E+09, -2.949987387347142E+01,  1.200878364804160E+01, -9.327768973814479E-01,",,,
"2452824.500000000, A.D. 2003-Jul-04 00",00,"00.0000, -2.827964813107548E+09,  3.072182385409014E+09, -1.250525954448825E+09, -3.018242777954437E+01, -2.732345569580326E+00, -9.276497610575007E-01,",,,
"2452855.500000000, A.D. 2003-Aug-04 00",00,"00.0000, -2.901299801991962E+09,  3.045848877021568E+09, -1.253002470792702E+09, -2.339479571737342E+01, -1.637550936070745E+01, -9.225315008207513E-01,",,,
"2452886.500000000, A.D. 2003-Sep-04 00",00,"00.0000, -2.947937882574791E+09,  2.989081881867979E+09, -1.255463251496920E+09, -1.064399412161777E+01, -2.493316705044845E+01, -9.167088321339634E-01,",,,
"2452916.500000000, A.D. 2003-Oct-04 00",00,"00.0000, -2.956252842861708E+09,  2.921309769138846E+09, -1.257829563321098E+09,  4.388051276640418E+00, -2.607613469873993E+01, -9.105785280496939E-01,",,,
"2452947.500000000, A.D. 2003-Nov-04 00",00,"00.0000, -2.924655163381602E+09,  2.858882408330835E+09, -1.260259386058051E+09,  1.864366273249500E+01, -1.922266544399560E+01, -9.039245018555659E-01,",,,
"2452977.500000000, A.D. 2003-Dec-04 00",00,"00.0000, -2.863666459595133E+09,  2.824736664352291E+09, -1.262596200328035E+09,  2.729160869393845E+01, -6.312313729957080E+00, -8.979921161125635E-01,",,,
"2453008.500000000, A.D. 2004-Jan-04 00",00,"00.0000, -2.787461068272932E+09,  2.829325696555899E+09, -1.264996015518425E+09,  2.810927345583716E+01,  9.841710692588773E+00, -8.923152303974140E-01,",,,
"2453039.500000000, A.D. 2004-Feb-04 00",00,"00.0000, -2.720790676645421E+09,  2.875656833051793E+09, -1.267381025554264E+09,  2.035150284484859E+01,  2.402749060189331E+01, -8.873068329615954E-01,",,,
"2453068.500000000, A.D. 2004-Mar-04 00",00,"00.0000, -2.685128512490272E+09,  2.946941570901000E+09, -1.269598863271206E+09,  7.460360247307164E+00,  3.174306592670843E+01, -8.825078672363453E-01,",,,
"2453099.500000000, A.D. 2004-Apr-04 00",00,"00.0000, -2.686327979864461E+09,  3.034202336643711E+09, -1.271955284376047E+09, -8.340982795070229E+00,  3.197206535250776E+01, -8.777676539472630E-01,",,,
"2453129.500000000, A.D. 2004-May-04 00",00,"00.0000, -2.725848382967869E+09,  3.109003454436918E+09, -1.274221363666626E+09, -2.148180326328517E+01,  2.461653643038424E+01, -8.726173018044641E-01,",,,
"2453160.500000000, A.D. 2004-Jun-04 00",00,"00.0000, -2.795600228393793E+09,  3.158275812128395E+09, -1.276548051178635E+09, -2.942465879371304E+01,  1.149767253844212E+01, -8.665683022296511E-01,",,,
"2453190.500000000, A.D. 2004-Jul-04 00",00,"00.0000, -2.874154593585456E+09,  3.169019398143342E+09, -1.278784838438520E+09, -2.993317658169516E+01, -3.235246735117115E+00, -8.602791832998173E-01,",,,
"2453221.500000000, A.D. 2004-Aug-04 00",00,"00.0000, -2.946630818184015E+09,  3.141390429145625E+09, -1.281080828437031E+09, -2.299781427067896E+01, -1.678882403045818E+01, -8.536286292264590E-01,",,,
"2453252.500000000, A.D. 2004-Sep-04 00",00,"00.0000, -2.992037340852657E+09,  3.083655105680478E+09, -1.283361436399403E+09, -1.015450732896039E+01, -2.520102008667058E+01, -8.477280475828408E-01,",,,
"2453282.500000000, A.D. 2004-Oct-04 00",00,"00.0000, -2.998990901893000E+09,  3.015401240540669E+09, -1.285554367005964E+09,  4.894206036875376E+00, -2.616726505833603E+01, -8.426519743216510E-01,",,,
"2453313.500000000, A.D. 2004-Nov-04 00",00,"00.0000, -2.966071443296833E+09,  2.952990464710172E+09, -1.287806120337240E+09,  1.907477757312191E+01, -1.914189493999613E+01, -8.380218703078439E-01,",,,
"2453343.500000000, A.D. 2004-Dec-04 00",00,"00.0000, -2.904134574198822E+09,  2.919265824913805E+09, -1.289971807103043E+09,  2.756614635576401E+01, -6.118434819566361E+00, -8.335034305691749E-01,",,,
"2453374.500000000, A.D. 2005-Jan-04 00",00,"00.0000, -2.827473053325561E+09,  2.924469727598734E+09, -1.292196004504820E+09,  2.818508653502467E+01,  1.005257840551794E+01, -8.287595096873894E-01,",,,
"2453405.500000000, A.D. 2005-Feb-04 00",00,"00.0000, -2.760897693259109E+09,  2.971289672843147E+09, -1.294406187380065E+09,  2.024868549860260E+01,  2.414906143058634E+01, -8.232351227027905E-01,",,,
"2453433.500000000, A.D. 2005-Mar-04 00",00,"00.0000, -2.726337328144018E+09,  3.039941955206223E+09, -1.296390085956045E+09,  7.759956668524123E+00,  3.155510072159052E+01, -8.182825868397803E-01,",,,
"2453464.500000000, A.D. 2005-Apr-04 00",00,"00.0000, -2.726779581300488E+09,  3.126784800085692E+09, -1.298572927844490E+09, -8.053709814679195E+00,  3.187105338134990E+01, -8.118999884052744E-01,",,,
"2453494.500000000, A.D. 2005-May-04 00",00,"00.0000, -2.765619316350524E+09,  3.201354039386508E+09, -1.300671330126912E+09, -2.124361592485978E+01,  2.457575066569726E+01, -8.060342217576757E-01,",,,
"2453525.500000000, A.D. 2005-Jun-04 00",00,"00.0000, -2.834799461523401E+09,  3.250513592653138E+09, -1.302825059287351E+09, -2.926077285712019E+01,  1.147897038653799E+01, -8.004346044097423E-01,",,,
"2453555.500000000, A.D. 2005-Jul-04 00",00,"00.0000, -2.912963007959754E+09,  3.261191476296963E+09, -1.304895402603525E+09, -2.983496889365709E+01, -3.265582565764681E+00, -7.955366313505641E-01,",,,
"2453586.500000000, A.D. 2005-Aug-04 00",00,"00.0000, -2.985203374527388E+09,  3.233455068107717E+09, -1.307020440990280E+09, -2.294808681946786E+01, -1.686249340966713E+01, -7.909337490862898E-01,",,,
"2453617.500000000, A.D. 2005-Sep-04 00",00,"00.0000, -3.030502527017668E+09,  3.175496921251599E+09, -1.309131217809237E+09, -1.012629137943193E+01, -2.533127642753073E+01, -7.862629033891650E-01,",,,
"2453647.500000000, A.D. 2005-Oct-04 00",00,"00.0000, -3.037408650345634E+09,  3.106871572504912E+09, -1.311160378780064E+09,  4.926229550509229E+00, -2.635689298248407E+01, -7.813348709490757E-01,",,,
"2453678.500000000, A.D. 2005-Nov-04 00",00,"00.0000, -3.004407822746991E+09,  3.043901944538467E+09, -1.313243500236076E+09,  1.914210985743373E+01, -1.937937816645324E+01, -7.757416911545709E-01,",,,
"2453708.500000000, A.D. 2005-Dec-04 00",00,"00.0000, -2.942279107639960E+09,  3.009503611351958E+09, -1.315246197083628E+09,  2.768692556897045E+01, -6.382357623537890E+00, -7.701342171686876E-01,",,,
"2453739.500000000, A.D. 2006-Jan-04 00",00,"00.0000, -2.865241915648170E+09,  3.013957046057127E+09, -1.317302170648166E+09,  2.836203553991379E+01,  9.795488362132797E+00, -7.642380125229962E-01,",,,
"2453770.500000000, A.D. 2006-Feb-04 00",00,"00.0000, -2.798109132217840E+09,  3.060075075694325E+09, -1.319344681325366E+09,  2.047016051321794E+01,  2.392217600396420E+01, -7.591760208520650E-01,",,,
"2453798.500000000, A.D. 2006-Mar-04 00",00,"00.0000, -2.762927524566767E+09,  3.128208500195606E+09, -1.321178312339990E+09,  8.010701192071094E+00,  3.138353917742764E+01, -7.546697020790187E-01,",,,
"2453829.500000000, A.D. 2006-Apr-04 00",00,"00.0000, -2.762646613033916E+09,  3.214654470441436E+09, -1.323195263986059E+09, -7.807303089781219E+00,  3.175105023161766E+01, -7.503055244798507E-01,",,,
"2453859.500000000, A.D. 2006-May-04 00",00,"00.0000, -2.800834333841896E+09,  3.289005302469038E+09, -1.325134094476449E+09, -2.102354629705929E+01,  2.450161445210257E+01, -7.458704753202898E-01,",,,
"2453890.500000000, A.D. 2006-Jun-04 00",00,"00.0000, -2.869464520934483E+09,  3.338058121818070E+09, -1.327123829154330E+09, -2.908071807463229E+01,  1.143455783003947E+01, -7.411131538768849E-01,",,,
"2453920.500000000, A.D. 2006-Jul-04 00",00,"00.0000, -2.947250285740101E+09,  3.348680207008623E+09, -1.329035811158676E+09, -2.970628207531371E+01, -3.301686144278313E+00, -7.359646548496288E-01,",,,
"2453951.500000000, A.D. 2006-Aug-04 00",00,"00.0000, -3.019259761495420E+09,  3.320854313572751E+09, -1.330997546839540E+09, -2.287048555899552E+01, -1.691061825780176E+01, -7.301159308015004E-01,",,,
"2453982.500000000, A.D. 2006-Sep-04 00",00,"00.0000, -3.064459102541299E+09,  3.262703916300856E+09, -1.332945019932468E+09, -1.009344754764357E+01, -2.541547203433731E+01, -7.239838139511132E-01,",,,
"2454012.500000000, A.D. 2006-Oct-04 00",00,"00.0000, -3.071334428746243E+09,  3.193740654509634E+09, -1.334816457297590E+09,  4.938588407568685E+00, -2.649907180328247E+01, -7.185637077199054E-01,",,,
"2454043.500000000, A.D. 2006-Nov-04 00",00,"00.0000, -3.038281583672896E+09,  3.130247662619038E+09, -1.336737000194073E+09,  1.916288373044676E+01, -1.959106166003996E+01, -7.136720423602378E-01,",,,
"2454073.500000000, A.D. 2006-Dec-04 00",00,"00.0000, -2.975992677622815E+09,  3.095199753876996E+09, -1.338583401198942E+09,  2.775769086075871E+01, -6.647477330032903E+00, -7.096236892842684E-01,",,,
"2454104.500000000, A.D. 2007-Jan-04 00",00,"00.0000, -2.898611864828122E+09,  3.098916395217754E+09, -1.340479002873914E+09,  2.851240516540520E+01,  9.507868434595418E+00, -7.058726833876090E-01,",,,
"2454135.500000000, A.D. 2007-Feb-04 00",00,"00.0000, -2.830942088282184E+09,  3.144339968835726E+09, -1.342362158524591E+09,  2.070156341898540E+01,  2.366477354411798E+01, -7.016648128594838E-01,",,,
"2454163.500000000, A.D. 2007-Mar-04 00",00,"00.0000, -2.795156550599679E+09,  3.211969317842127E+09, -1.344051847405378E+09,  8.277030600754003E+00,  3.118377717105723E+01, -6.973239481957521E-01,",,,
"2454194.500000000, A.D. 2007-Apr-04 00",00,"00.0000, -2.794161468445801E+09,  3.298028320704154E+09, -1.345910331311609E+09, -7.528140987698116E+00,  3.163183904020430E+01, -6.920667047433575E-01,",,,
"2454224.500000000, A.D. 2007-May-04 00",00,"00.0000, -2.831704953536364E+09,  3.372177791625842E+09, -1.347695897480020E+09, -2.077491875222571E+01,  2.445139729652078E+01, -6.865969646977383E-01,",,,
"2454255.500000000, A.D. 2007-Jun-04 00",00,"00.0000, -2.899793503228818E+09,  3.421151716683927E+09, -1.349527343817286E+09, -2.889597923182115E+01,  1.143415778270762E+01, -6.805822210884247E-01,",,,
"2454285.500000000, A.D. 2007-Jul-04 00",00,"00.0000, -2.977219129267950E+09,  3.431748340002006E+09, -1.351286469684255E+09, -2.959639769978147E+01, -3.292507781842989E+00, -6.751836492669352E-01,",,,
"2454316.500000000, A.D. 2007-Aug-04 00",00,"00.0000, -3.049028231578891E+09,  3.403865513949906E+09, -1.353090609715959E+09, -2.283809201205002E+01, -1.693299477659341E+01, -6.702582721882351E-01,",,,
"2454347.500000000, A.D. 2007-Sep-04 00",00,"00.0000, -3.094166179356193E+09,  3.345543885849389E+09, -1.354881337839464E+09, -1.010899009733222E+01, -2.550923178487812E+01, -6.661380089210951E-01,",,,
"2454377.500000000, A.D. 2007-Oct-04 00",00,"00.0000, -3.101042881241454E+09,  3.276252332484901E+09, -1.356601893528305E+09,  4.920137173154876E+00, -2.667263768393405E+01, -6.621126144327114E-01,",,,
"2454408.500000000, A.D. 2007-Nov-04 00",00,"00.0000, -3.067962425163379E+09,  3.212237188116590E+09, -1.358367450247589E+09,  1.919079743753670E+01, -1.983767898758243E+01, -6.577969198426867E-01,",,,
"2454438.500000000, A.D. 2007-Dec-04 00",00,"00.0000, -3.005527856410135E+09,  3.176547054323388E+09, -1.360064215383275E+09,  2.785638205534078E+01, -6.929272193187378E+00, -6.531623209073487E-01,",,,
"2454469.500000000, A.D. 2008-Jan-04 00",00,"00.0000, -2.927813071268491E+09,  3.179542430319347E+09, -1.361805521038145E+09,  2.869299402480115E+01,  9.238380039268330E+00, -6.479063964751539E-01,",,,
"2454500.500000000, A.D. 2008-Feb-04 00",00,"00.0000, -2.859622072255917E+09,  3.224296894003889E+09, -1.363534434925666E+09,  2.094058164279504E+01,  2.344828429100894E+01, -6.425161481892676E-01,",,,
"2454529.500000000, A.D. 2008-Mar-04 00",00,"00.0000, -2.822538819836361E+09,  3.294125366078386E+09, -1.365140616690071E+09,  8.045778509383839E+00,  3.117900373964903E+01, -6.378930740555404E-01,",,,
"2454560.500000000, A.D. 2008-Apr-04 00",00,"00.0000, -2.822222520468309E+09,  3.379854842803963E+09, -1.366845093495990E+09, -7.775262563404563E+00,  3.142738831497903E+01, -6.330323693300350E-01,",,,
"2454590.500000000, A.D. 2008-May-04 00",00,"00.0000, -2.860291736762874E+09,  3.453194116778542E+09, -1.368482322403162E+09, -2.093743350387365E+01,  2.407690085037548E+01, -6.287667169353277E-01,",,,
"2454621.500000000, A.D. 2008-Jun-04 00",00,"00.0000, -2.928567725819120E+09,  3.500972931805569E+09, -1.370161216157829E+09, -2.890159907955323E+01,  1.094553414533365E+01, -6.248243541822540E-01,",,,
"2454651.500000000, A.D. 2008-Jul-04 00",00,"00.0000, -3.005714700466353E+09,  3.510277474563751E+09, -1.371773359100914E+09, -2.941552186230854E+01, -3.800787759326730E+00, -6.205398916291975E-01,",,,
"2454682.500000000, A.D. 2008-Aug-04 00",00,"00.0000, -3.076757693283531E+09,  3.481161011761851E+09, -1.373426253115157E+09, -2.247077512066392E+01, -1.736635702519632E+01, -6.155803438889880E-01,",,,
"2454713.500000000, A.D. 2008-Sep-04 00",00,"00.0000, -3.120745694694688E+09,  3.421934605195237E+09, -1.375065897635315E+09, -9.615327839025133E+00, -2.577617748940196E+01, -6.100380911117558E-01,",,,
"2454743.500000000, A.D. 2008-Oct-04 00",00,"00.0000, -3.126339157747253E+09,  3.352232124117521E+09, -1.376640292722731E+09,  5.437208439136403E+00, -2.673622580649268E+01, -6.048651260210907E-01,",,,
"2454774.500000000, A.D. 2008-Nov-04 00",00,"00.0000, -3.092017730150279E+09,  3.288312931439089E+09, -1.378254845995371E+09,  1.961729223904619E+01, -1.969844034717235E+01, -5.997067686557545E-01,",,,
"2454804.500000000, A.D. 2008-Dec-04 00",00,"00.0000, -3.028720684527489E+09,  3.253119319445678E+09, -1.379805934698254E+09,  2.810442686718288E+01, -6.667634494123162E+00, -5.953573692286165E-01,",,,
"2454835.500000000, A.D. 2009-Jan-04 00",00,"00.0000, -2.950641354006634E+09,  3.256807423054311E+09, -1.381397210136064E+09,  2.871034558948876E+01,  9.509089090967370E+00, -5.915130324957381E-01,",,,
"2454866.500000000, A.D. 2009-Feb-04 00",00,"00.0000, -2.882640281165056E+09,  3.302122835761397E+09, -1.382977060137995E+09,  2.076107537926569E+01,  2.359941042222877E+01, -5.880970346273706E-01,",,,
"2454894.500000000, A.D. 2009-Mar-04 00",00,"00.0000, -2.846785277019710E+09,  3.369429724293465E+09, -1.384393865709027E+09,  8.270665747598629E+00,  3.100920591515210E+01, -5.842120649028342E-01,",,,
"2454925.500000000, A.D. 2009-Apr-04 00",00,"00.0000, -2.845806534727628E+09,  3.454802446488054E+09, -1.385951171336293E+09, -7.543260229133420E+00,  3.131157100073141E+01, -5.801326734875385E-01,",,,
"2454955.500000000, A.D. 2009-May-04 00",00,"00.0000, -2.883281176855650E+09,  3.527964733753666E+09, -1.387446259802788E+09, -2.072631341510260E+01,  2.401375474823119E+01, -5.752818735016643E-01,",,,
"2454986.500000000, A.D. 2009-Jun-04 00",00,"00.0000, -2.951066427473392E+09,  3.575682306606345E+09, -1.388978298692275E+09, -2.873146776914502E+01,  1.092484389246945E+01, -5.695309539252396E-01,",,,
"2455016.500000000, A.D. 2009-Jul-04 00",00,"00.0000, -3.027898722036050E+09,  3.584975751346233E+09, -1.390448132932793E+09, -2.930512312766608E+01, -3.806902629667171E+00, -5.641165014957719E-01,",,,
"2455047.500000000, A.D. 2009-Aug-04 00",00,"00.0000, -3.098781831339973E+09,  3.555813238491682E+09, -1.391953833286019E+09, -2.242633593007578E+01, -1.738592975702293E+01, -5.587822288758781E-01,",,,
"2455078.500000000, A.D. 2009-Sep-04 00",00,"00.0000, -3.142744322387533E+09,  3.496430244698318E+09, -1.393446648401914E+09, -9.624043944026853E+00, -2.584411976689263E+01, -5.542630729954574E-01,",,,
"2455108.500000000, A.D. 2009-Oct-04 00",00,"00.0000, -3.148374996433084E+09,  3.426418940878191E+09, -1.394879687005768E+09,  5.410054215488499E+00, -2.687206139971060E+01, -5.504329924012588E-01,",,,
"2455139.500000000, A.D. 2009-Nov-04 00",00,"00.0000, -3.114069244478088E+09,  3.362005868072793E+09, -1.396349018766823E+09,  1.960814107965175E+01, -1.991157794614901E+01, -5.470567084565019E-01,",,,
"2455169.500000000, A.D. 2009-Dec-04 00",00,"00.0000, -3.050676788960969E+09,  3.326193433917829E+09, -1.397760249633420E+09,  2.815284083946523E+01, -6.934324520244012E+00, -5.434922667761164E-01,",,,
"2455200.500000000, A.D. 2010-Jan-04 00",00,"00.0000, -2.972321491169396E+09,  3.329174255999203E+09, -1.399207701686331E+09,  2.884688986134246E+01,  9.225196974542763E+00, -5.392049238463050E-01,",,,
"2455231.500000000, A.D. 2010-Feb-04 00",00,"00.0000, -2.903848669656675E+09,  3.373823857368766E+09, -1.400643819677093E+09,  2.098190830293683E+01,  2.335625332761674E+01, -5.341026715722723E-01,",,,
"2455259.500000000, A.D. 2010-Mar-04 00",00,"00.0000, -2.867448439384871E+09,  3.440653103626345E+09, -1.401930972886163E+09,  8.526828518433414E+00,  3.082657481877895E+01, -5.299862336868841E-01,",,,
"2455290.500000000, A.D. 2010-Apr-04 00",00,"00.0000, -2.865816184056922E+09,  3.525673930155827E+09, -1.403344571752797E+09, -7.283212423700155E+00,  3.121959723734237E+01, -5.246768577871617E-01,",,,
"2455320.500000000, A.D. 2010-May-04 00",00,"00.0000, -2.902709460500810E+09,  3.598669898223555E+09, -1.404700759229870E+09, -2.050759046813067E+01,  2.399066107003702E+01, -5.199791647830878E-01,",,,
"2455351.500000000, A.D. 2010-Jun-04 00",00,"00.0000, -2.970022883802390E+09,  3.646341722192635E+09, -1.406089603087539E+09, -2.858689427753133E+01,  1.094056349933186E+01, -5.155778788005776E-01,",,,
"2455381.500000000, A.D. 2010-Jul-04 00",00,"00.0000, -3.046562380132251E+09,  3.655634197402184E+09, -1.407421582688561E+09, -2.923519448154526E+01, -3.793538465060577E+00, -5.115043711525331E-01,",,,
"2455412.500000000, A.D. 2010-Aug-04 00",00,"00.0000, -3.117313002539152E+09,  3.626432783746092E+09, -1.408785575550182E+09, -2.242398950553289E+01, -1.741539067824887E+01, -5.076138135571764E-01,",,,
"2455443.500000000, A.D. 2010-Sep-04 00",00,"00.0000, -3.161276799050936E+09,  3.566892166344286E+09, -1.410137268612791E+09, -9.656462905542949E+00, -2.594516484511211E+01, -5.033924603511775E-01,",,,
"2455473.500000000, A.D. 2010-Oct-04 00",00,"00.0000, -3.166966063882012E+09,  3.496566538181285E+09, -1.411433793802803E+09,  5.381474298828167E+00, -2.704717936220219E+01, -4.988182354089776E-01,",,,
"2455504.500000000, A.D. 2010-Nov-04 00",00,"00.0000, -3.132689150307530E+09,  3.431647709386849E+09, -1.412762001213136E+09,  1.962764329601109E+01, -2.014828335940274E+01, -4.935958823455016E-01,",,,
"2455534.500000000, A.D. 2010-Dec-04 00",00,"00.0000, -3.069207480837131E+09,  3.395210893884256E+09, -1.414036579435161E+09,  2.823872854770430E+01, -7.198922395468581E+00, -4.890114699245913E-01,",,,
"2455565.500000000, A.D. 2011-Jan-04 00",00,"00.0000, -2.990578055010431E+09,  3.397489453515007E+09, -1.415342959740217E+09,  2.900293567488361E+01,  8.976582082521622E+00, -4.847669484219748E-01,",,,
"2455596.500000000, A.D. 2011-Feb-04 00",00,"00.0000, -2.921645935134337E+09,  3.441486866552523E+09, -1.416638751244713E+09,  2.118545559345754E+01,  2.315365655300485E+01, -4.812245668396624E-01,",,,
"2455624.500000000, A.D. 2011-Mar-04 00",00,"00.0000, -2.884717242437178E+09,  3.507840451847380E+09, -1.417799981482554E+09,  8.758736237820809E+00,  3.068134832136028E+01, -4.776487430024776E-01,",,,
"2455655.500000000, A.D. 2011-Apr-04 00",00,"00.0000, -2.882459587165185E+09,  3.592513509143893E+09, -1.419074749808661E+09, -7.067886381782318E+00,  3.113697910702114E+01, -4.741366541418515E-01,",,,
"2455685.500000000, A.D. 2011-May-04 00",00,"00.0000, -2.918796612389515E+09,  3.665336114089527E+09, -1.420297132222677E+09, -2.033121375375696E+01,  2.395321686854360E+01, -4.702292409209079E-01,",,,
"2455716.500000000, A.D. 2011-Jun-04 00",00,"00.0000, -2.985660312827211E+09,  3.712947041670860E+09, -1.421548168820441E+09, -2.846346736553990E+01,  1.091979283599997E+01, -4.656821831805384E-01,",,,
"2455746.500000000, A.D. 2011-Jul-04 00",00,"00.0000, -3.061918298596690E+09,  3.722224730534934E+09, -1.422746639330666E+09, -2.916397505586495E+01, -3.819821789273254E+00, -4.606916377570167E-01,",,,
"2455777.500000000, A.D. 2011-Aug-04 00",00,"00.0000, -3.132539225496487E+09,  3.692971872883556E+09, -1.423972443800982E+09, -2.239243142856982E+01, -1.746831220110584E+01, -4.550021242464188E-01,",,,
"2455808.500000000, A.D. 2011-Sep-04 00",00,"00.0000, -3.176501708820527E+09,  3.633271683428856E+09, -1.425185591084947E+09, -9.652203831401096E+00, -2.603571405290370E+01, -4.497403682634840E-01,",,,
"2455838.500000000, A.D. 2011-Oct-04 00",00,"00.0000, -3.182252155571822E+09,  3.562636795708250E+09, -1.426348315079331E+09,  5.375578451971041E+00, -2.718959541516042E+01, -4.455783075004476E-01,",,,
"2455869.500000000, A.D. 2011-Nov-04 00",00,"00.0000, -3.148011888219830E+09,  3.497221484045657E+09, -1.427538793635114E+09,  1.963439982974287E+01, -2.034494236062566E+01, -4.421568224192942E-01,",,,
"2455899.500000000, A.D. 2011-Dec-04 00",00,"00.0000, -3.084455428505334E+09,  3.460162560353570E+09, -1.428680969796135E+09,  2.828966411779115E+01, -7.438165593105989E+00, -4.390408913361665E-01,",,,
"2455930.500000000, A.D. 2012-Jan-04 00",00,"00.0000, -3.005573135838212E+09,  3.461735511285180E+09, -1.429851340636594E+09,  2.911580647343486E+01,  8.720042641452689E+00, -4.359164431373506E-01,",,,
"2455961.500000000, A.D. 2012-Feb-04 00",00,"00.0000, -2.936200575176306E+09,  3.505065998118765E+09, -1.431011607083803E+09,  2.136348144565535E+01,  2.291617686652121E+01, -4.321512642850136E-01,",,,
"2455990.500000000, A.D. 2012-Mar-04 00",00,"00.0000, -2.897996108155034E+09,  3.573574320319718E+09, -1.432087290861559E+09,  8.473745525289631E+00,  3.064594132023399E+01, -4.281557463996979E-01,",,,
"2456021.500000000, A.D. 2012-Apr-04 00",00,"00.0000, -2.896481305669883E+09,  3.657911446809636E+09, -1.433226397907012E+09, -7.334578529751369E+00,  3.088956462258908E+01, -4.230282337386200E-01,",,,
"2456051.500000000, A.D. 2012-May-04 00",00,"00.0000, -2.933397542035230E+09,  3.729923974230450E+09, -1.434317396058720E+09, -2.048701498265417E+01,  2.354540117226255E+01, -4.179793019184412E-01,",,,
"2456082.500000000, A.D. 2012-Jun-04 00",00,"00.0000, -3.000496789532593E+09,  3.776343987214860E+09, -1.435432549026308E+09, -2.844338065410233E+01,  1.043255026531239E+01, -4.129328185672891E-01,",,,
"2456112.500000000, A.D. 2012-Jul-04 00",00,"00.0000, -3.076525820877372E+09,  3.784340274459560E+09, -1.436499940035044E+09, -2.896545349796321E+01, -4.298242213718886E+00, -4.087095339771167E-01,",,,
"2456143.500000000, A.D. 2012-Aug-04 00",00,"00.0000, -3.146433651452143E+09,  3.753870595127322E+09, -1.437590742500326E+09, -2.204257707377630E+01, -1.785260179502047E+01, -4.050196338464023E-01,",,,
"2456174.500000000, A.D. 2012-Sep-04 00",00,"00.0000, -3.189307430732889E+09,  3.693280188318371E+09, -1.438669710726172E+09, -9.211156666370290E+00, -2.626945223530338E+01, -4.014015940173188E-01,",,,
"2456204.500000000, A.D. 2012-Oct-04 00",00,"00.0000, -3.193833645499147E+09,  3.622238551882463E+09, -1.439702954583910E+09,  5.829929159039040E+00, -2.724520620903359E+01, -3.975882928099406E-01,",,,
"2456235.500000000, A.D. 2012-Nov-04 00",00,"00.0000, -3.158412768824331E+09,  3.556915961740145E+09, -1.440759995237416E+09,  2.000872380199404E+01, -2.023144903773419E+01, -3.933667151708145E-01,",,,
"2456265.500000000, A.D. 2012-Dec-04 00",00,"00.0000, -3.094042815078328E+09,  3.520347599498221E+09, -1.441772945286815E+09,  2.850628947829136E+01, -7.216530344633181E+00, -3.891749679425711E-01,",,,
"2456296.500000000, A.D. 2013-Jan-04 00",00,"00.0000, -3.014840652908627E+09,  3.522603427083926E+09, -1.442809687414108E+09,  2.913593085316634E+01,  8.952032177830212E+00, -3.845925933655052E-01,",,,
"2456327.500000000, A.D. 2013-Feb-04 00",00,"00.0000, -2.945695603179555E+09,  3.566487792597631E+09, -1.443836291087080E+09,  2.121079617107880E+01,  2.305507491222055E+01, -3.804088129231946E-01,",,,
"2456355.500000000, A.D. 2013-Mar-04 00",00,"00.0000, -2.908797778612740E+09,  3.632517089603239E+09, -1.444754973002179E+09,  8.726096692852456E+00,  3.047429339939028E+01, -3.768977725175144E-01,",,,
"2456386.500000000, A.D. 2013-Apr-04 00",00,"00.0000, -2.906652417914897E+09,  3.716496104922907E+09, -1.445761635698334E+09, -7.088501213412241E+00,  3.080728183820456E+01, -3.733947322339795E-01,",,,
"2456416.500000000, A.D. 2013-May-04 00",00,"00.0000, -2.943007780004661E+09,  3.788334810739172E+09, -1.446725213926608E+09, -2.028801978559082E+01,  2.352746484071163E+01, -3.699006027319456E-01,",,,
"2456447.500000000, A.D. 2013-Jun-04 00",00,"00.0000, -3.009657802667498E+09,  3.834703389339712E+09, -1.447709414244467E+09, -2.832136659327926E+01,  1.044206658892069E+01, -3.660800998211182E-01,",,,
"2456477.500000000, A.D. 2013-Jul-04 00",00,"00.0000, -3.085416361624316E+09,  3.842692973946656E+09, -1.448650267766035E+09, -2.891352105534315E+01, -4.299488285845768E+00, -3.617118707413951E-01,",,,
